Position,Bill,LastName,FirstName,Role,Organization,City,State
On,SB 1,Schovanec,Lawrence,President,Texas Tech University,Lubbock,TX
On,SB 1,Smatresk,Neal,President,University of North Texas,Denton,TX
On,SB 1,Tidwell,Michael,Tyler,The University of Texas at Tyler,Tyler,TX
On,SB 1,Tintera,John,Lobby,Texas Alliance of Energy Producers,,
On,SB 1,Versluis,John,"W. David   President, UT Permian Basin",,,
On,SB 1,Watts,W. David,Basin,UT Permian Basin,Odessa,TX
On,SB 1,Williams,Michael,President,University of North Texas Health Science Center,Ft. Worth,TX
Against,SB 1,Brown,Willis,Austin,UT students,Austin,TX
On,SB 1,Barnes,Gary,Officer,,,
On,SB 1,Buchholz,"M.D., Thomas",President,UT MD Anderson Cancer Center,Houston,TX
On,SB 1,Cavin,Elmo,Administration,,,
On,SB 1,Fuciarelli,Sue,Officer,,,
On,SB 1,,,,,,
On,SB 1,Giardino,Vincent,Attorney,,,
On,SB 1,Monroe,Alicia,Medicine,Baylor College of Medicine,Houston,TX
On,SB 1,Sloan,Noel,Officer,Texas Tech University,Lubbock,TX
On,SB 1,Wright,Angie,Officer,Angelo State University,San Angelo,TX
On,SB 1,McMillen,Dr. Jeremy,Patty   Legislative Counsel,"Grayson College) Quinzi, Patty   Legislative Counsel  (TX-American Federation of Teachers",Austin,TX
On,SB 1,Blackstone,Kristene,CPS,also providing written testimony,,
On,SB 1,,,,CPS,,
On,SB 1,Bowen,Stuart,General,HHSC Inspector General,,
On,SB 1,Brown,Thomas,Staff,LBB,,
On,SB 1,Carruth,Lisa,Officer,Health and Human Services Commission,Austin,TX
On,SB 1,Diehl,Mike,Staff,LBB,,
On,SB 1,Dudley,Rustin,Staff,LBB,,
On,SB 1,Flores,David,Director,Texas Civil Commitment Office (TCCO),Austin,TX
On,SB 1,Hellerstedt,Dr. John,Commissioner,Department of State Health Services,,
On,SB 1,Jessee,Gary,Services,Health and Human Services Commission,Austin,TX
On,SB 1,Lindsey,Julie,Staff,LBB,,
On,SB 1,McGeady,John,Staff,LBB,,
On,SB 1,McLane,Marsha,Director,Tx Civil Commitment Office (TCCO),,
On,SB 1,Prado,Liz,Staff,LBB,,
On,SB 1,Rodell,Leora,Staff,LBB,,
On,SB 1,Schaffer,Samantha,Staff,LBB,,
On,SB 1,Sheppard,Donna,Officer,Department of State Health Services,Cedar Park,TX
On,SB 1,Smith,Charles,Commissioner,,Austin,TX
On,SB 1,Subia,Lisa,DFPS,DFPS,,
On,SB 1,Weizenbaum,Jon,Commissioner,Department of Aging and Disability Services,Austin,TX
On,SB 1,Whitman,Hank,DFPS,DFPS,,
